,NAME,DP03_0004PE,state,place
19,"Conway city, Arkansas",57.7,05,15190
20,"Little Rock city, Arkansas",60.9,05,41000
21,"Auburn city, Alabama",58.7,01,03076
22,"Birmingham city, Alabama",55.5,01,07000
23,"Dothan city, Alabama",57.2,01,21184
24,"Hoover city, Alabama",68.0,01,35896
25,"Huntsville city, Alabama",62.3,01,37000
26,"Mobile city, Alabama",56.3,01,50000
27,"Montgomery city, Alabama",55.0,01,51000
28,"Tuscaloosa city, Alabama",53.6,01,77256
29,"Anchorage municipality, Alaska",63.0,02,03000
30,"Fayetteville city, Arkansas",59.3,05,23290
31,"Fort Smith city, Arkansas",55.4,05,24550
32,"Jonesboro city, Arkansas",59.4,05,35710
33,"Antioch city, California",63.3,06,02252
34,"Rogers city, Arkansas",66.0,05,60410
35,"Springdale city, Arkansas",65.5,05,66080
36,"Alameda city, California",61.5,06,00562
37,"Alhambra city, California",57.4,06,00884
38,"Anaheim city, California",64.2,06,02000
39,"Apple Valley town, California",52.5,06,02364
40,"Arden-Arcade CDP, California",59.9,06,02553
41,"Bakersfield city, California",58.8,06,03526
42,"Baldwin Park city, California",58.4,06,03666
43,"Buena Park city, California",64.2,06,08786
44,"Bellflower city, California",57.9,06,04982
45,"Berkeley city, California",57.7,06,06000
46,"Brentwood city, California",61.0,06,08142
47,"Burbank city, California",63.9,06,08954
48,"Camarillo city, California",56.0,06,10046
49,"Carlsbad city, California",62.4,06,11194
50,"Carmichael CDP, California",60.6,06,11390
51,"Carson city, California",57.5,06,11530
52,"Castro Valley CDP, California",60.8,06,11964
53,"Chula Vista city, California",59.3,06,13392
54,"Chico city, California",62.6,06,13014
55,"Chino city, California",61.1,06,13210
56,"Chino Hills city, California",61.1,06,13214
57,"Citrus Heights city, California",60.8,06,13588
58,"Clovis city, California",63.5,06,14218
59,"Compton city, California",54.8,06,15044
60,"Concord city, California",63.3,06,16000
61,"Corona city, California",64.5,06,16350
62,"Costa Mesa city, California",70.7,06,16532
63,"Daly City city, California",64.7,06,17918
64,"Davis city, California",59.9,06,18100
65,"Downey city, California",66.2,06,19766
66,"Dublin city, California",68.8,06,20018
67,"East Los Angeles CDP, California",61.5,06,20802
68,"Eastvale city, California",68.1,06,21230
69,"El Cajon city, California",54.5,06,21712
70,"Elk Grove city, California",58.9,06,22020
71,"El Monte city, California",59.0,06,22230
72,"Escondido city, California",64.8,06,22804
73,"Fairfield city, California",58.6,06,23182
74,"Folsom city, California",61.4,06,24638
75,"Fontana city, California",63.7,06,24680
76,"Fremont city, California",63.4,06,26000
77,"Fresno city, California",59.0,06,27000
78,"Fullerton city, California",61.4,06,28000
79,"Garden Grove city, California",63.8,06,29000
80,"Glendale city, California",57.8,06,30000
81,"Hawthorne city, California",67.9,06,32548
82,"Hayward city, California",61.4,06,33000
83,"Hemet city, California",46.7,06,33182
84,"Hesperia city, California",55.0,06,33434
85,"Irvine city, California",64.2,06,36770
86,"Huntington Beach city, California",63.1,06,36000
87,"Indio city, California",57.9,06,36448
88,"Inglewood city, California",61.9,06,36546
89,"Jurupa Valley city, California",63.2,06,37692
90,"Lake Elsinore city, California",64.7,06,39486
